,score,definition,trait
0,0.0830179060135012,being of the age 13 through 19,teenage
1,0.6926595044699698,being of use or service,useful
2,0.33993557598594176,having a useful function,useful
3,0.0106928358880464,characterized by malice,hateful
4,0.06471907683943534,evoking or deserving hatred,hateful
5,0.0861293731885269,provided with a motive or given incentive for action,motivated
6,0.5344769724335585,(used of tobacco) aging as a preservative process (`aged' is pronounced as one syllable),aged
7,0.2804494377480793,having attained a specific age; (`aged' is pronounced as one syllable),aged
8,0.1721111234073283,"of wines, fruit, cheeses; having reached a desired or final condition; (`aged' pronounced as one syllable)",aged
9,0.03890195481593374,advanced in years; (`aged' is pronounced as two syllables),aged
10,0.06413496335804407,at an advanced stage of erosion (pronounced as one syllable),aged
11,0.7104481500138052,beyond or deviating from the usual or expected,funny
12,0.190145559798428,not as expected,funny
13,0.21745128308091813,arousing or provoking laughter,funny
14,0.1641418183313609,experiencing odd bodily sensations,funny
15,0.6926595044699698,being of use or service,utile
16,0.05267053323439123,not auspicious; boding ill,unfortunate
17,0.7132194766973147,not favored by fortune; marked or accompanied by or resulting in ill fortune,unfortunate
18,0.4457867612550678,unsuitable or regrettable,unfortunate
19,0.3336913056150689,showing or giving mercy,merciful
20,0.10316986058843071,(used conventionally of royalty and high nobility) gracious,merciful
21,0.12121439465043718,having or revealing stupidity,foolish
22,0.06975592841154162,devoid of good sense or judgment,foolish
23,0.09836724060656694,lacking intelligence,stupid
24,0.14197699190220245,in a state of mental numbness especially as resulting from shock,stupid
25,0.6943637667764079,lacking or marked by lack of intellectual acuity,stupid
26,0.32937385114191886,(usually followed by `to') strongly opposed,antipathetic
27,0.03658304787804259,characterized by antagonism or antipathy,antipathetic
28,0.5910332050863066,involving competition or competitiveness,competitive
29,0.0008335240170142225,showing a fighting disposition,competitive
30,0.28125681466618757,subscribing to capitalistic competition,competitive
31,0.32611942710841735,lacking orderly continuity,confused
32,0.07110874795936507,perplexed by many conflicting situations or statements; filled with bewilderment,confused
33,0.5174083294515904,thrown into a state of disarray or confusion,confused
34,0.06481214168639493,having lost your bearings; confused as to time or place or personal identity,confused
35,0.03826063196535065,mentally confused; unable to think with clarity or act intelligently,confused
36,0.0018829192618041617,"suggesting taste, ease, and wealth",refined
37,0.09490536063751594,freed from impurities by processing,refined
38,0.0006381577738977498,showing a high degree of refinement and the assurance that comes from wide social experience,refined
39,0.10705299713812376,precise to a fine degree,refined
40,0.08563837306443445,(used of persons and their behavior) cultivated and genteel,refined
41,0.42762795347616944,in keeping,concordant
42,0.3527633879045549,being of the same opinion,concordant
43,0.27457350977849454,having little desire for success or achievement,unambitious
44,0.08671172993383774,in danger of the eternal punishment of Hell,doomed
45,0.37424842218490034,marked by or promising bad fortune,doomed
46,0.20808989230396846,(usually followed by `to') determined by tragic fate,doomed
47,0.058885860651890526,marked for certain death,doomed
48,0.014225062292526422,characterized by hard work and perseverance,untiring
49,0.00425187449281013,tastelessly showy,loud
50,0.00877032816790623,(used chiefly as a direction or description in music) loud; with force,loud
51,0.07128870088499903,characterized by or producing sound of great volume or intensity,loud
52,0.25121045050234825,marked by or showing unaffected simplicity and lack of guile or worldly experience,naive
53,0.19224527656565724,lacking information or instruction,naive
54,0.5784122876016087,of or created by one without formal training; simple or naive in style,naive
55,0.49146144190158997,not initiated; deficient in relevant experience,naive
56,0.35496267336155535,inexperienced,naive
57,0.21124169019923805,not in agreement,inconsistent
58,0.622024263228135,displaying a lack of consistency,inconsistent
59,0.22852939554442617,not capable of being made consistent or harmonious,inconsistent
60,0.2598175311258122,(used of societies) having high industrial development,developed
61,0.40138123804136305,being changed over time so as to be e.g. stronger or more complete or more useful,developed
62,0.14738371796332794,(of real estate) made more useful and profitable as by building or laying out roads,developed
63,0.05044309602098327,engaged in or ready for military or naval operations,active
64,0.6334145144814698,(used of verbs (e.g. `to run') and participial adjectives (e.g. `running' in `running water')) expressing action rather than a state of being,active
65,0.1343665146848361,taking part in an activity,active
66,0.2998468276949047,in operation,active
67,0.0007849201463165205,characterized by energetic activity,active
68,0.40287057147915833,disposed to take action or effectuate change,active
69,0.047525913048360215,engaged in full-time work,active
70,0.6517633947264585,exerting influence or producing a change or effect,active
71,0.6483932253507214,expressing that the subject of the sentence has the semantic function of actor:,active
72,0.00414741305154588,full of activity or engaged in continuous activity,active
73,0.16805654550705088,(of e.g. volcanos) capable of erupting,active
74,0.21729186808941256,(of e.g. volcanos) erupting or liable to erupt,active
75,0.12566423370856478,(of the sun) characterized by an increased occurrence of sunspots and flares and radio emissions,active
76,0.023108522125570803,tending to become more severe or wider in scope,active
77,0.04885460712252233,used especially of drugs or muscles that counteract or neutralize each other's effect,incompatible
78,0.06293195007346183,not compatible with other facts,incompatible
79,0.6115486548991099,of words so related that one contrasts with the other,incompatible
80,0.2423019241064799,not in keeping with what is correct or proper,incompatible
81,0.1628617384958493,not easy to combine harmoniously,incompatible
82,0.28189924778523356,not suitable to your tastes or needs,incompatible
83,0.24037009166639853,incapable of being used with or connected to other devices or components without modification,incompatible
84,0.24474371939451683,not compatible,incompatible
85,0.19901373579718049,used especially of solids or solutions; incapable of blending into a stable homogeneous mixture,incompatible
86,0.6666448397710412,constructing or tending to construct or improve or promote development,constructive
87,0.39584611619709875,emphasizing what is laudable or hopeful or to the good,constructive
88,0.5081399501892034,"(of ideas, images, representations, expressions) characterized by perfect conformity to fact or truth; strictly correct",precise
89,0.5377921205948598,sharply exact or accurate or delimited,precise
90,0.6583524098171673,not hospitable,inhospitable
91,0.27810791543355345,unfavorable to life or growth,inhospitable
92,0.18490463251357242,accurately fitted; level,true
93,0.6229626848329761,not pretended; sincerely felt or expressed,true
94,0.1842311896307338,in tune; accurate in pitch,true
95,0.04743998806619808,having a legally established claim,true
96,0.08406884101673949,worthy of being depended on,true
97,0.6291849668040694,accurately placed or thrown,true
98,0.36982240320540394,expressing or given to expressing the truth,true
99,0.20033819024769056,conforming to definitive criteria,true
100,0.6208879177281574,consistent with fact or reality; not false,true
101,0.2088145011945518,determined with reference to the earth's axis rather than the magnetic poles,true
102,0.009936325839380278,devoted (sometimes fanatically) to a cause or concept or truth,true
103,0.07908029685780571,rightly so called,true
104,0.36625297006450447,lacking power,powerless
105,0.5065309655747624,given or giving freely,openhanded
106,0.3760598327618971,not precise,imprecise
107,0.0069234157116123025,characteristic of an enemy or one eager to fight,aggressive
108,0.011007676059099934,tending to spread quickly,aggressive
109,0.08497608313124358,having or showing determination and energetic pursuit of your ends,aggressive
110,0.05310964805461508,full of or characterized by humor,humourous
111,0.018069983732164636,characteristic of those having an inflated idea of their own importance,narcissistic
112,0.42511059231167364,showing or having compassion,compassionate
113,0.05366624264787807,not resentful,unresentful
114,0.0063731240812141005,characterized by intense emotion,fervent
115,0.19436991763012823,"(archaic) extremely hot, burning, or glowing",fervent
116,0.4951354026371249,able to exist and perform in harmonious or agreeable combination,compatible
117,0.32069784016470987,capable of being used with or connected to other devices or components without modification,compatible
118,0.14620222107964412,capable of forming a homogeneous mixture that neither separates nor is altered by chemical interaction,compatible
119,0.009117763397634432,going directly ahead from one point to another without veering or turning aside,undeviating
120,0.012005047038148042,used of values and principles; not subject to change; steady,undeviating
121,0.0830179060135012,being of the age 13 through 19,teenaged
122,0.06447197173611512,vile; despicable,lousy
123,0.09918919760105384,very bad,lousy
124,0.09320173521424827,infested with lice,lousy
125,0.0046767320313360365,invulnerable to fear or intimidation,dauntless
126,0.16158037292428465,having or fostering a warm or friendly and informal atmosphere,informal
127,0.2017952847437466,not officially recognized or controlled,informal
128,0.6167509110139364,not formal,informal
129,0.06496516191514544,used of spoken and written language,informal
130,0.06116017287333757,characterized by kindness and warm courtesy especially of a king to his subjects,gracious
131,0.02668136793580197,exhibiting courtesy and politeness,gracious
132,0.002555677111836202,"characterized by charm, good taste, and generosity of spirit",gracious
133,0.024552318345124773,disposed to bestow favors,gracious
134,0.16158037292428465,having or fostering a warm or friendly and informal atmosphere,intimate
135,0.20478032572128826,having mutual interests or affections; of established friendship,intimate
136,0.20902781543757312,concerning things deeply private and personal,intimate
137,0.025362198574243558,involved in a sexual relationship,intimate
138,0.03361249812546542,thoroughly acquainted through study or experience,intimate
139,0.44092381188836854,innermost or essential,intimate
140,0.5134063064238836,"marked by close acquaintance, association, or familiarity",intimate
141,0.31030816933903643,used euphemistically to refer to the genitals,intimate
142,0.03501558294634044,pleasantly cold and invigorating,snappy
143,0.07375610338197668,marked by up-to-dateness in dress and manners,snappy
144,0.0025135631680589373,quick and energetic,snappy
145,0.006943245503939041,apt to speak irritably,snappy
146,0.006017020989493657,smart and fashionable,snappy
147,0.5340460212885656,not friendly,inimical
148,0.7104481500138052,beyond or deviating from the usual or expected,odd
149,0.34759789830134624,of the remaining member of a pair,odd
150,0.2124380865352333,not divisible by two,odd
151,0.18917160863320484,not used up,odd
152,0.05708504747004875,an indefinite quantity more than that specified,odd
153,0.16924767535845361,not easily explained,odd
154,0.03605752483482797,pleasantly (even unrealistically) optimistic,upbeat
155,0.7225087149236329,of or relating to the chin or median part of the lower jaw,mental
156,0.1374560163766633,affected by a disorder of the mind,mental
157,0.7524454485900617,involving the mind or an intellectual process,mental
158,0.3302657700208779,of or relating to the chin- or liplike structure in insects and certain mollusks,mental
159,0.5065309655747624,given or giving freely,giving
160,0.5194319532475833,presaging or likely to bring good luck or a good outcome,lucky
161,0.34908846257412857,having or bringing good fortune,lucky
162,0.07985895694720323,occurring by chance,lucky
163,0.06859800966187064,not known before,strange
164,0.8167663671209578,relating to or originating in or characteristic of another place or part of the world,strange
165,0.2345881738832001,being definitely out of the ordinary and unexpected; slightly odd or even a bit weird,strange
166,0.2338007151917159,in disagreement,conflicting
167,0.10038389429461231,on bad terms,conflicting
168,0.6736341169619525,lacking social graces,discourteous
169,0.01318268275774812,showing no courtesy; rude,discourteous
170,0.07179390342224232,exhibiting childlike simplicity and credulity,childlike
171,0.05483786077558294,befitting a young child,childlike
172,0.14162906903955383,weak and likely to lose consciousness,faint
