index,sentence
0,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered."
1,You have an ingenious mind.
2,You have an active mind.
3,You have an alert mind.
4,Gaining knowledge and putting it to good use are important to you.
5,You strive for perfection.
6,You can be quite the person to live with or to be around because your standards for yourself and others are so high.
7,"At times others can never be ""good"" enough to meet those high standards."
8,Finding fault with what's wrong with things is your forte.
9,"Sometimes, though, this can make relationships sour as you often turn your critical eye on the one you love and the things they do."
10,Pessimism and being too self-critical are two faults you should try to improve upon.
11,"You may tend to worry too much, especially about the small stuff, the little details."
12,Too much worry can lead to health problems.
13,You need to learn to digest every experience.
14,"You need to learn to assimilate it without bitterness, regret, spite or resentment."
15,You need to get rid of any negativity that stems from a feeling of inadequacy.
16,"You tend to look younger than you really are, no matter what your age."
17,You are very restless.
18,You are very nervous.
19,you seldom have much weight on you.
20,At times you can be very indecisive.
21,At times you can be very unsure.
22,"If you have the Moon in Cancer, you very easily respond to the emotional environment in which you are placed."
23,You soak up feelings like a sponge.
24,"Perhaps this is why you so easily become moody, irritable and inconstant in thought and feeling."
25,"Learning to control your own moods may be very difficult, yet necessary, for you."
26,Your greatest need is to nurture and mother someone or ones.
27,You often appear irrational to others because you can't always explain the reason or source of your feelings.
28,Anyone who lives with you must accept your ups and downs and appreciate your need for times of withdrawal.
29,You are also very sympathetic and understand the unspoken feelings and needs of others.
30,You take slights very personally.
31,"though you may forgive a mistake by a friend or loved one , you never forget it."
32,Security is very important to you.
33,you look for it in home.
34,you look for it in family.
35,you look for it in life.
36,Your senses and emotions are quite strong.
37,it would be wise for you to listen to your intuitive side as you can be quite psychic.
38,You are very tenacious.
39,you do not give up or let go of things or people easily.
40,Your mother is/was a strong influence for good or ill in your life.
41,You are basically an introvert.
42,You will do whatever it takes to protect and defend your family or loved ones.
43,You tend to be a pack-rat because everything has an emotional memory behind it.
44,you find security in all those memories.
45,Nothing or no one is ever gone if they leave their memory behind.
46,"Thus, you can become quite possessive."
47,"You have the memory of an elephant, but you must learn to forgive and forget past hurts."
48,"If you have Mercury in Gemini, you have an extremely adaptable, energetic, active, alert, curious, and versatile mind."
49,"You seek knowledge, either through reading or conversation, or through travel and talking with the new people you constantly meet."
50,You have so much nervous energy that this can sometimes cause great stress which must find an appropriate release.
51,Exercise is a good way to release this tension.
52,"You are clever, witty, and always have a joke or comeback ready for any situation."
53,You love being involved in multiple things at once and this may be a problem – too may irons in the fire at the same time.
54,You are quick to grasp new concepts.
55,You are equally quick to lose interest in an idea or project once your curiosity has been satisfied.
56,You like to taste a little bit of everything.
57,concentration and disciplined study are not your strong points.
58,You are handy with your hands.
59,You may be ambidextrous or mechanically inclined.
60,Debate and argument appeal to you.
61,There is a tendency to scratch the surface with the things that strike your interest without learning anything very deeply.
62,"This is the jack-of-all-trades, master-of-none position."
63,"There is danger, then, of superficiality."
64,"Control of thought, word, and action is necessary in order to be successful."
65,"Find your focus, stay with it and develop perseverance."
66,"Journalism, speaking, teaching, sales, advertising, or writing may appeal to you."
67,"Mentally restless, you may change jobs or locations frequently, or do work that involves movement, travel, and variety."
68,You grasp concepts easily.
69,You may become impatient with those who do n't learn as quickly.
70,"If you have Venus in Taurus, in love affairs you are generally loyal, especially if your partner is demonstrative and affectionate."
71,"If you have Venus in Taurus, in love affairs you are generally steady, especially if your partner is demonstrative and affectionate."
72,You are oriented towards the sensual side of life in everything you do.
73,it may show through too much weight.
74,You are tremendously responsive to beauty.
75,You are tremendously responsive to physical appearances.
76,the physical attractiveness of your partner is very important to you.
77,You enjoy indulging yourself.
78,You enjoy indulging the ones you love.
79,it is too easy for you to be extravagant.
80,it is too easy for you to put too much value in material things.
81,Comfort is important to you.
82,you hate getting your hands dirty.
83,"At times you can be lazy, hoping or expecting someone else to do the dirty work."
84,"Self-control needs to be developed and added to the qualifications you already possess -warmth, charm, sympathy, artistic."
85,"Guard against possessiveness, jealousy, and taking the easy way out in your relationships."
86,You aim to please in practical ways.
87,You aim to please in earthy ways.
