,first,second
0,You never give up.,You never find it difficult to change your mind or course in mid-stream.
1,You never give up.,"Whatever you have set your sights on, you refuse to give up or let go of it."
2,You never give up.,You are patient unless someone takes you too far.
3,You never give up.,You are usually slow to anger unless someone takes you too far.
4,You never give up.,You are reliable.
5,You never give up.,You are consistent.
6,You never give up.,You can handle more of the workload than most around you.
7,You never give up.,"You prefer a regular routine, defined responsibilities."
8,You never give up.,"You prefer a regular routine, defined tasks."
9,You never give up.,You enjoy building and seeing the results of your hard work.
10,You never give up.,"Keeping things going is your strength, especially once someone else starts them."
11,You never give up.,Money and possessions are important to you for the feelings of security they bring.
12,You never give up.,You are handy with your hands.
13,You never give up.,You may be ambidextrous or mechanically inclined.
14,You never give up.,Debate and argument appeal to you.
15,You never give up.,You grasp concepts easily.
16,You never give up.,You may become impatient with those who do n't learn as quickly.
17,You never give up.,"You are very direct in thought, action, and speech and everyone knows how you feel."
18,You never give up.,You are adventurous.
19,You never give up.,You are courageous.
20,You never give up.,You are independent.
21,You never give up.,"You tend to be industrious, efficient, practical, exacting, scientific, organized, shy, thrifty, studious, economical, and punctual."
22,You never give up.,You have common sense to manage others.
23,You never give up.,You have the ability to manage others.
24,You never give up.,You may be a bit of a perfectionist.
25,You never give up.,Your mind is deep.
26,You never give up.,Your mind is analytical.
27,You never give up.,you probably have a good head for numbers.
28,You never give up.,Your work is usually neat.
29,You never give up.,Your work is usually orderly.
30,You never give up.,you dislike messes.
31,You never give up.,you dislike dirt.
32,You never give up.,You tend to be idealistic.
33,You never give up.,You tend to be optimistic.
34,You never give up.,You tend to be dependable.
35,You never give up.,You tend to be open-minded.
36,You never give up.,You tend to be friendly.
37,You never give up.,You tend to be honest.
38,You never give up.,You tend to be versatile.
39,You never give up.,"You are usually outspoken, sometimes to the point of bluntness."
40,You never give up.,You are quiet.
41,You never give up.,You are shy.
42,You never give up.,You are sensitive.
43,You never give up.,You are sentimental.
44,You never give up.,You are gentle.
45,You never give up.,You are romantic.
46,You never find it difficult to change your mind or course in mid-stream.,"Whatever you have set your sights on, you refuse to give up or let go of it."
47,You never find it difficult to change your mind or course in mid-stream.,You are patient unless someone takes you too far.
48,You never find it difficult to change your mind or course in mid-stream.,You are usually slow to anger unless someone takes you too far.
49,You never find it difficult to change your mind or course in mid-stream.,You are reliable.
50,You never find it difficult to change your mind or course in mid-stream.,You are consistent.
51,You never find it difficult to change your mind or course in mid-stream.,You can handle more of the workload than most around you.
52,You never find it difficult to change your mind or course in mid-stream.,"You prefer a regular routine, defined responsibilities."
53,You never find it difficult to change your mind or course in mid-stream.,"You prefer a regular routine, defined tasks."
54,You never find it difficult to change your mind or course in mid-stream.,You enjoy building and seeing the results of your hard work.
55,You never find it difficult to change your mind or course in mid-stream.,"Keeping things going is your strength, especially once someone else starts them."
56,You never find it difficult to change your mind or course in mid-stream.,Money and possessions are important to you for the feelings of security they bring.
57,You never find it difficult to change your mind or course in mid-stream.,You are handy with your hands.
58,You never find it difficult to change your mind or course in mid-stream.,You may be ambidextrous or mechanically inclined.
59,You never find it difficult to change your mind or course in mid-stream.,Debate and argument appeal to you.
60,You never find it difficult to change your mind or course in mid-stream.,You grasp concepts easily.
61,You never find it difficult to change your mind or course in mid-stream.,You may become impatient with those who do n't learn as quickly.
62,You never find it difficult to change your mind or course in mid-stream.,"You are very direct in thought, action, and speech and everyone knows how you feel."
63,You never find it difficult to change your mind or course in mid-stream.,You are adventurous.
64,You never find it difficult to change your mind or course in mid-stream.,You are courageous.
65,You never find it difficult to change your mind or course in mid-stream.,You are independent.
66,You never find it difficult to change your mind or course in mid-stream.,"You tend to be industrious, efficient, practical, exacting, scientific, organized, shy, thrifty, studious, economical, and punctual."
67,You never find it difficult to change your mind or course in mid-stream.,You have common sense to manage others.
68,You never find it difficult to change your mind or course in mid-stream.,You have the ability to manage others.
69,You never find it difficult to change your mind or course in mid-stream.,You may be a bit of a perfectionist.
70,You never find it difficult to change your mind or course in mid-stream.,Your mind is deep.
71,You never find it difficult to change your mind or course in mid-stream.,Your mind is analytical.
72,You never find it difficult to change your mind or course in mid-stream.,you probably have a good head for numbers.
73,You never find it difficult to change your mind or course in mid-stream.,Your work is usually neat.
74,You never find it difficult to change your mind or course in mid-stream.,Your work is usually orderly.
75,You never find it difficult to change your mind or course in mid-stream.,you dislike messes.
76,You never find it difficult to change your mind or course in mid-stream.,you dislike dirt.
77,You never find it difficult to change your mind or course in mid-stream.,You tend to be idealistic.
78,You never find it difficult to change your mind or course in mid-stream.,You tend to be optimistic.
79,You never find it difficult to change your mind or course in mid-stream.,You tend to be dependable.
80,You never find it difficult to change your mind or course in mid-stream.,You tend to be open-minded.
81,You never find it difficult to change your mind or course in mid-stream.,You tend to be friendly.
82,You never find it difficult to change your mind or course in mid-stream.,You tend to be honest.
83,You never find it difficult to change your mind or course in mid-stream.,You tend to be versatile.
84,You never find it difficult to change your mind or course in mid-stream.,"You are usually outspoken, sometimes to the point of bluntness."
85,You never find it difficult to change your mind or course in mid-stream.,You are quiet.
86,You never find it difficult to change your mind or course in mid-stream.,You are shy.
87,You never find it difficult to change your mind or course in mid-stream.,You are sensitive.
88,You never find it difficult to change your mind or course in mid-stream.,You are sentimental.
89,You never find it difficult to change your mind or course in mid-stream.,You are gentle.
90,You never find it difficult to change your mind or course in mid-stream.,You are romantic.
91,"Whatever you have set your sights on, you refuse to give up or let go of it.",You are patient unless someone takes you too far.
92,"Whatever you have set your sights on, you refuse to give up or let go of it.",You are usually slow to anger unless someone takes you too far.
93,"Whatever you have set your sights on, you refuse to give up or let go of it.",You are reliable.
94,"Whatever you have set your sights on, you refuse to give up or let go of it.",You are consistent.
95,"Whatever you have set your sights on, you refuse to give up or let go of it.",You can handle more of the workload than most around you.
96,"Whatever you have set your sights on, you refuse to give up or let go of it.","You prefer a regular routine, defined responsibilities."
97,"Whatever you have set your sights on, you refuse to give up or let go of it.","You prefer a regular routine, defined tasks."
98,"Whatever you have set your sights on, you refuse to give up or let go of it.",You enjoy building and seeing the results of your hard work.
99,"Whatever you have set your sights on, you refuse to give up or let go of it.","Keeping things going is your strength, especially once someone else starts them."
100,"Whatever you have set your sights on, you refuse to give up or let go of it.",Money and possessions are important to you for the feelings of security they bring.
101,"Whatever you have set your sights on, you refuse to give up or let go of it.",You are handy with your hands.
102,"Whatever you have set your sights on, you refuse to give up or let go of it.",You may be ambidextrous or mechanically inclined.
103,"Whatever you have set your sights on, you refuse to give up or let go of it.",Debate and argument appeal to you.
104,"Whatever you have set your sights on, you refuse to give up or let go of it.",You grasp concepts easily.
105,"Whatever you have set your sights on, you refuse to give up or let go of it.",You may become impatient with those who do n't learn as quickly.
106,"Whatever you have set your sights on, you refuse to give up or let go of it.","You are very direct in thought, action, and speech and everyone knows how you feel."
107,"Whatever you have set your sights on, you refuse to give up or let go of it.",You are adventurous.
108,"Whatever you have set your sights on, you refuse to give up or let go of it.",You are courageous.
109,"Whatever you have set your sights on, you refuse to give up or let go of it.",You are independent.
110,"Whatever you have set your sights on, you refuse to give up or let go of it.","You tend to be industrious, efficient, practical, exacting, scientific, organized, shy, thrifty, studious, economical, and punctual."
