,predicted_class,C,N,E,dist
0,neutral,0.02279784950425184,0.8804421423921154,0.09675992065552884,0.450491344464747
1,entailment,0.0017456590233771373,0.0398006535355705,0.9584536790324022,0.019935126869514697
2,neutral,0.0048818510579390064,0.9902727042542148,0.004845491137278057,0.4975653690387142
3,neutral,0.05204974208902677,0.9441040436622318,0.0038462466541767343,0.4979712825168855
4,entailment,0.001492800286728208,0.16184580755176733,0.8366613873618266,0.08104388650187579
5,entailment,0.001123313549684869,0.0775308532662058,0.9213458506510358,0.038809020653979204
6,neutral,0.003912670160562803,0.9639121040038474,0.03217523419905439,0.48384919024414885
7,neutral,0.03366348878361288,0.916361923783401,0.04997463700417086,0.47414221968201165
8,neutral,0.07210353103667788,0.9092021313107992,0.018694256944818247,0.4899265385761646
9,neutral,0.004458240665084339,0.9907651040502202,0.004776692033613542,0.49760095856728287
10,neutral,0.005807360068707963,0.9641315731575232,0.030061050568600638,0.48488167692497297
11,neutral,0.015065279285065063,0.9618995888417964,0.023035125660606927,0.4883062677548915
12,neutral,0.010380588700291857,0.943265481029862,0.04635393739596118,0.4765799172222712
13,neutral,0.021531470501979948,0.8501008365733443,0.1283676428577659,0.4344037924796515
14,neutral,0.01056810939749802,0.936829357176331,0.05260247719267188,0.4734178366990696
15,neutral,0.020030897807379117,0.939367065376386,0.04060203649405115,0.47928402211020976
16,contradiction,0.9986155154403584,0.0011577363035744765,0.00022680187570961108,0.9986155154403584
17,neutral,0.0081086366292487,0.9590053756980076,0.032885987810501754,0.48342258586959674
18,entailment,0.0032855516513308172,0.316159837746136,0.6805546008366395,0.15860101223961523
19,entailment,0.001110310727786692,0.1869805534197992,0.8119091525492137,0.09359419378459367
20,entailment,0.001897627458953832,0.2632267511362754,0.7348756116500618,0.13186360485183227
21,neutral,0.004721910916691427,0.7095527578573584,0.2857253710180567,0.356459534913671
22,neutral,0.00533652788610683,0.939069361334516,0.05559407119139917,0.4720538277705556
23,neutral,0.03197081286109786,0.9305224751439766,0.03750677699083106,0.4806272502054474
24,neutral,0.004590903486422038,0.9680047304544088,0.02740435629344996,0.486234626216351
25,neutral,0.017732362986581658,0.9258501613523284,0.056417430781513414,0.4712820461382859
26,neutral,0.013946359749731192,0.9393092148287772,0.04674435803973345,0.4762972523370357
27,neutral,0.002327707372419549,0.995815574751434,0.0018567988375758273,0.499069434572546
28,neutral,0.002207859651640823,0.996223224356236,0.0015689101134892954,0.4992138091395544
29,neutral,0.0034220842176474146,0.9899350917027059,0.006642844673700848,0.496667172515451
30,neutral,0.26785541265740337,0.7073775626282278,0.024767012203440585,0.4830859825676268
31,contradiction,0.5378562662916073,0.4366019169630577,0.025541860111360344,0.5378562662916073
32,neutral,0.03987330276686818,0.8329646553681826,0.1271620763725081,0.4337784939380004
33,entailment,0.0017470896640530216,0.15873769708237925,0.8395152041085142,0.0795077564477943
34,entailment,0.0013704017044591707,0.18252282401942765,0.8161067589480815,0.09138664983118476
35,neutral,0.013487375403415141,0.8001591034486791,0.18635350239618564,0.4055493557344918
36,neutral,0.013404219087413651,0.9656372910788614,0.020958454545866912,0.4893783980729637
37,neutral,0.01038856101927641,0.8420141485277522,0.14759723658801754,0.4254266680800409
38,neutral,0.005673579351551646,0.6440037556317177,0.3503227225050259,0.3238391865207636
39,neutral,0.0017468805741709464,0.9724541152689766,0.02579899654155636,0.4870779283148115
40,contradiction,0.9240984354415772,0.06672596055105111,0.00917564014071079,0.9240984354415772
41,contradiction,0.9988073047189924,0.000982582871186853,0.0002101226366046819,0.9988073047189924
42,contradiction,0.7374624351053473,0.2551273854781629,0.0074100916467272375,0.7374624351053473
43,neutral,0.2310718960365191,0.7340972683781523,0.034830846799034414,0.4773510383405553
44,contradiction,0.9573274927870591,0.03193725365709918,0.01073529560669679,0.9573274927870591
45,neutral,0.0108904985867988,0.9163413051816942,0.07276818166956724,0.46321530496021324
46,contradiction,0.9969448492434962,0.0024478291905611718,0.0006072639186528303,0.9969448492434962
47,contradiction,0.7907042275261548,0.19668894195331305,0.012606841881558013,0.7907042275261548
48,neutral,0.017224904902427673,0.9768953285816324,0.005879842968055305,0.4970085513257403
49,contradiction,0.98210389475575,0.007966055840010302,0.009930012079682716,0.98210389475575
50,contradiction,0.9976503161928648,0.0012948379631445976,0.0010549470148824684,0.9976503161928648
51,neutral,0.004657748426777396,0.9447726486249528,0.0505696176115874,0.47459687017874025
52,contradiction,0.908922059319072,0.08865693471122524,0.0024210560151928344,0.908922059319072
53,contradiction,0.927006207429196,0.07063392591744673,0.002359887319608864,0.927006207429196
54,contradiction,0.5307493783459173,0.4647561937992138,0.004494402769732079,0.5307493783459173
55,contradiction,0.9385734325441316,0.057092397416565924,0.004334127033168941,0.9385734325441316
