first,Debate and argument appeal to you.,"Keeping things going is your strength, especially once someone else starts them.",Money and possessions are important to you for the feelings of security they bring.,"Whatever you have set your sights on, you refuse to give up or let go of it.",You are adventurous.,You are consistent.,You are courageous.,You are gentle.,You are handy with your hands.,You are independent.,You are patient unless someone takes you too far.,You are quiet.,You are reliable.,You are romantic.,You are sensitive.,You are sentimental.,You are shy.,"You are usually outspoken, sometimes to the point of bluntness.",You are usually slow to anger unless someone takes you too far.,"You are very direct in thought, action, and speech and everyone knows how you feel.",You can handle more of the workload than most around you.,You enjoy building and seeing the results of your hard work.,You grasp concepts easily.,You have common sense to manage others.,You have the ability to manage others.,You may be a bit of a perfectionist.,You may be ambidextrous or mechanically inclined.,You may become impatient with those who do n't learn as quickly.,You never find it difficult to change your mind or course in mid-stream.,You never give up.,"You prefer a regular routine, defined responsibilities.","You prefer a regular routine, defined tasks.",You tend to be dependable.,You tend to be friendly.,You tend to be honest.,You tend to be idealistic.,"You tend to be industrious, efficient, practical, exacting, scientific, organized, shy, thrifty, studious, economical, and punctual.",You tend to be open-minded.,You tend to be optimistic.,You tend to be versatile.,Your mind is analytical.,Your mind is deep.,Your work is usually neat.,Your work is usually orderly.,you dislike dirt.,you dislike messes.,you probably have a good head for numbers.
Debate and argument appeal to you.,0.0,0.34259846249403586,0.5,0.5,0.4798598564120281,0.5267800907827372,0.5090325957681839,0.5598871435144595,0.34259846249403586,0.3425984624940359,0.5,0.5,0.5,0.4896131763090589,0.5598871435144595,0.5,0.466514454735135,0.5,0.4006884754063881,0.5529503687603547,0.34259846249403586,0.5598871435144595,0.5714046011320273,0.5341910029940913,0.5,0.5598871435144595,0.5132550533380387,0.3425984624940359,0.5,0.4813067903989078,0.5156652988281448,0.5156652988281448,0.5,0.5,0.3236270777606573,0.5139462907034176,0.5,0.5139462907034176,0.5156652988281448,0.5,0.5598871435144595,0.5598871435144595,0.5598871435144595,0.3425984624940359,0.2443589601630001,0.572311935263867,0.5341910029940913
"Keeping things going is your strength, especially once someone else starts them.",0.34259846249403586,0.0,0.2868808837645761,0.5,0.4541371334538011,0.3344382644086833,0.494095278963241,0.4047821419735144,0.0,0.0,0.5,0.531959333689406,0.2868808837645761,0.4611390999243934,0.4047821419735144,0.4848007596526164,0.3472636652827799,0.5,0.4055671500177244,0.34980779685787955,0.0,0.4047821419735144,0.3809369494062267,0.426818504325831,0.4509054242096434,0.4047821419735144,0.3245815112072987,0.0,0.5,0.5681738339484995,0.30754344694375474,0.30754344694375474,0.2868808837645761,0.5,0.05378202190139464,0.4274103615076861,0.481738764243359,0.4274103615076861,0.30754344694375474,0.5,0.4047821419735144,0.4047821419735144,0.4047821419735144,0.0,0.41407562996946,0.3850272832947381,0.426818504325831
Money and possessions are important to you for the feelings of security they bring.,0.5,0.2868808837645761,0.0,0.5,0.2870629399854435,0.4113949952141878,0.4890314842181784,0.4650431068466975,0.2868808837645761,0.2868808837645761,0.5,0.555966603427148,0.0,0.3195724246044771,0.4650431068466975,0.4733833669630633,0.5276344455019336,0.5,0.4415054054395479,0.3673632621587264,0.2868808837645761,0.4650431068466974,0.4611471527672698,0.4527520489134392,0.4634635217322092,0.4650431068466975,0.29250884454883525,0.2868808837645761,0.5,0.7080726653835779,0.04698198462101644,0.04698198462101644,0.0,0.5,0.261193938057412,0.40975062478381896,0.4680212563373822,0.40975062478381896,0.04698198462101644,0.5,0.4650431068466975,0.4650431068466975,0.4650431068466975,0.2868808837645761,0.4922108517530697,0.457790596672603,0.4527520489134392
"Whatever you have set your sights on, you refuse to give up or let go of it.",0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
You are adventurous.,0.4798598564120281,0.4541371334538011,0.2870629399854435,0.5,0.0,0.43645442291952347,0.4945427410227259,0.4011897539014365,0.4541371334538011,0.4541371334538011,0.5,0.5962843111307372,0.2870629399854435,0.2421363048984333,0.4011897539014365,0.454209045758565,0.5199013967055677,0.5,0.4957289070525864,0.4091113946920103,0.4541371334538011,0.4011897539014365,0.3901773284067361,0.3664474656245331,0.3905483526235256,0.4011897539014365,0.3334158884874288,0.4541371334538011,0.5,0.4991960607188495,0.2649794789767702,0.2649794789767702,0.2870629399854435,0.5,0.44860934700387145,0.4935300911962913,0.4449841313241458,0.4935300911962913,0.2649794789767702,0.5,0.4011897539014365,0.4011897539014365,0.4011897539014365,0.4541371334538011,0.4817102099409143,0.3806895821043639,0.3664474656245331
You are consistent.,0.5267800907827372,0.3344382644086833,0.4113949952141878,0.5,0.43645442291952347,0.0,0.4975450919421842,0.23265282640263854,0.3344382644086833,0.3344382644086833,0.5,0.6754633310965971,0.4113949952141878,0.3742702699058883,0.23265282640263854,0.41655303682461403,0.43649934408681984,0.5,0.4607392181779954,0.07829905189384079,0.3344382644086833,0.23265282640263854,0.1657016791191539,0.2620952032934628,0.3225228712812472,0.23265282640263854,0.19447073055203254,0.3344382644086833,0.5,0.6730872605444826,0.18431747377577906,0.18431747377577906,0.4113949952141878,0.5,0.31448334253944965,0.4698206084014214,0.3997420507279648,0.4698206084014214,0.18431747377577906,0.5,0.23265282640263854,0.23265282640263854,0.23265282640263854,0.3344382644086833,0.5761774354826796,0.17718628113423868,0.2620952032934628
You are courageous.,0.5090325957681839,0.494095278963241,0.4890314842181784,0.5,0.4945427410227259,0.4975450919421842,0.0,0.4732484772931463,0.494095278963241,0.494095278963241,0.5,0.5,0.4890314842181784,0.4953759105835888,0.4732484772931463,0.5,0.5592644185971004,0.5,0.4953979010248643,0.4973983240102438,0.494095278963241,0.4732484772931463,0.4964036244653888,0.4956265399462136,0.4966180368770389,0.4732484772931463,0.4973989384679436,0.494095278963241,0.5,0.5040016615926706,0.4889959343027177,0.4889959343027177,0.4890314842181784,0.5,0.4933835912865727,0.4786970681082648,0.5,0.4786970681082648,0.4889959343027177,0.5,0.4732484772931463,0.4732484772931463,0.4732484772931463,0.494095278963241,0.5035220912632268,0.4960929281566447,0.4956265399462136
You are gentle.,0.5598871435144595,0.4047821419735144,0.4650431068466975,0.5,0.4011897539014365,0.23265282640263854,0.4732484772931463,0.0,0.4047821419735144,0.4047821419735144,0.5,0.7728368475585883,0.4650431068466975,0.4490408496542585,0.0,0.3702440776154199,0.6008063735980356,0.5,0.5540379016371306,0.17871034615016113,0.4047821419735144,0.0,0.15223579254367794,0.13006974536038962,0.2240317962120724,0.0,0.282339880877279,0.4047821419735144,0.5,0.5949484301520718,0.4614177671013166,0.4614177671013166,0.4650431068466975,0.5,0.3933056681935792,0.466240188037468,0.34410382128781186,0.466240188037468,0.4614177671013166,0.5,0.0,0.0,0.0,0.4047821419735144,0.6171313173202634,0.08591107196944292,0.13006974536038962
You are handy with your hands.,0.34259846249403586,0.0,0.2868808837645761,0.5,0.4541371334538011,0.3344382644086833,0.494095278963241,0.4047821419735144,0.0,0.0,0.5,0.531959333689406,0.2868808837645761,0.4611390999243934,0.4047821419735144,0.4848007596526164,0.3472636652827799,0.5,0.4055671500177244,0.34980779685787955,0.0,0.4047821419735144,0.3809369494062267,0.426818504325831,0.4509054242096434,0.4047821419735144,0.3245815112072987,0.0,0.5,0.5681738339484995,0.30754344694375474,0.30754344694375474,0.2868808837645761,0.5,0.05378202190139464,0.4274103615076861,0.481738764243359,0.4274103615076861,0.30754344694375474,0.5,0.4047821419735144,0.4047821419735144,0.4047821419735144,0.0,0.41407562996946,0.3850272832947381,0.426818504325831
You are independent.,0.3425984624940359,0.0,0.2868808837645761,0.5,0.4541371334538011,0.3344382644086833,0.494095278963241,0.4047821419735144,0.0,0.0,0.5,0.531959333689406,0.2868808837645761,0.4611390999243934,0.4047821419735144,0.4848007596526164,0.3472636652827799,0.5,0.4055671500177244,0.3498077968578795,0.0,0.4047821419735144,0.3809369494062266,0.426818504325831,0.4509054242096434,0.4047821419735144,0.3245815112072987,0.0,0.5,0.5681738339484995,0.30754344694375474,0.30754344694375474,0.2868808837645761,0.5,0.05378202190139464,0.4274103615076861,0.481738764243359,0.4274103615076861,0.30754344694375474,0.5,0.4047821419735144,0.4047821419735144,0.4047821419735144,0.0,0.41407562996946,0.3850272832947381,0.426818504325831
