,first_index,second_index,first,second
0,0,1,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.",You have an ingenious mind.
1,0,2,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.",You have an active mind.
2,0,3,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.",You have an alert mind.
3,0,4,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.",Gaining knowledge and putting it to good use are important to you.
4,0,5,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.",You strive for perfection.
5,0,6,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.",You can be quite the person to live with or to be around because your standards for yourself and others are so high.
6,0,7,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.","At times others can never be ""good"" enough to meet those high standards."
7,0,8,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.",Finding fault with what's wrong with things is your forte.
8,0,9,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.","Sometimes, though, this can make relationships sour as you often turn your critical eye on the one you love and the things they do."
9,0,10,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.",Pessimism and being too self-critical are two faults you should try to improve upon.
10,1,2,You have an ingenious mind.,You have an active mind.
11,1,3,You have an ingenious mind.,You have an alert mind.
12,1,4,You have an ingenious mind.,Gaining knowledge and putting it to good use are important to you.
13,1,5,You have an ingenious mind.,You strive for perfection.
14,1,6,You have an ingenious mind.,You can be quite the person to live with or to be around because your standards for yourself and others are so high.
15,1,7,You have an ingenious mind.,"At times others can never be ""good"" enough to meet those high standards."
16,1,8,You have an ingenious mind.,Finding fault with what's wrong with things is your forte.
17,1,9,You have an ingenious mind.,"Sometimes, though, this can make relationships sour as you often turn your critical eye on the one you love and the things they do."
18,1,10,You have an ingenious mind.,Pessimism and being too self-critical are two faults you should try to improve upon.
19,2,3,You have an active mind.,You have an alert mind.
20,2,4,You have an active mind.,Gaining knowledge and putting it to good use are important to you.
21,2,5,You have an active mind.,You strive for perfection.
22,2,6,You have an active mind.,You can be quite the person to live with or to be around because your standards for yourself and others are so high.
23,2,7,You have an active mind.,"At times others can never be ""good"" enough to meet those high standards."
24,2,8,You have an active mind.,Finding fault with what's wrong with things is your forte.
25,2,9,You have an active mind.,"Sometimes, though, this can make relationships sour as you often turn your critical eye on the one you love and the things they do."
26,2,10,You have an active mind.,Pessimism and being too self-critical are two faults you should try to improve upon.
27,3,4,You have an alert mind.,Gaining knowledge and putting it to good use are important to you.
28,3,5,You have an alert mind.,You strive for perfection.
29,3,6,You have an alert mind.,You can be quite the person to live with or to be around because your standards for yourself and others are so high.
30,3,7,You have an alert mind.,"At times others can never be ""good"" enough to meet those high standards."
31,3,8,You have an alert mind.,Finding fault with what's wrong with things is your forte.
32,3,9,You have an alert mind.,"Sometimes, though, this can make relationships sour as you often turn your critical eye on the one you love and the things they do."
33,3,10,You have an alert mind.,Pessimism and being too self-critical are two faults you should try to improve upon.
34,4,5,Gaining knowledge and putting it to good use are important to you.,You strive for perfection.
35,4,6,Gaining knowledge and putting it to good use are important to you.,You can be quite the person to live with or to be around because your standards for yourself and others are so high.
36,4,7,Gaining knowledge and putting it to good use are important to you.,"At times others can never be ""good"" enough to meet those high standards."
37,4,8,Gaining knowledge and putting it to good use are important to you.,Finding fault with what's wrong with things is your forte.
38,4,9,Gaining knowledge and putting it to good use are important to you.,"Sometimes, though, this can make relationships sour as you often turn your critical eye on the one you love and the things they do."
